num_downloads,day,pack_name,avg10,avg20,avg30
12153,2018-11-13,beautifulsoup,10316.8,9457.1,9098.133333333333
11181,2018-11-12,beautifulsoup,9791.1,9459.75,8831.5
7465,2018-11-11,beautifulsoup,9716.7,9386.3,8607.9
7875,2018-11-10,beautifulsoup,9985.4,9448.0,8627.833333333334
11214,2018-11-09,beautifulsoup,10316.8,9246.4,8692.166666666666
12797,2018-11-08,beautifulsoup,10389.1,8916.1,8673.766666666666
11291,2018-11-07,beautifulsoup,10091.1,8706.0,8662.6
11315,2018-11-06,beautifulsoup,9477.9,8578.5,8673.6
10874,2018-11-05,beautifulsoup,8940.0,8452.25,8423.8
7003,2018-11-04,beautifulsoup,8770.0,8397.15,8206.633333333333
6896,2018-11-03,beautifulsoup,8597.4,8488.8,8250.933333333332
10437,2018-11-02,beautifulsoup,9128.4,8351.7,8301.433333333332
10152,2018-11-01,beautifulsoup,9055.9,8053.5,8253.8
11189,2018-10-31,beautifulsoup,8910.6,7949.05,8216.666666666666
11937,2018-10-30,beautifulsoup,8176.0,7879.85,8134.7
9817,2018-10-29,beautifulsoup,7443.1,7816.1,7871.2
5159,2018-10-28,beautifulsoup,7320.9,7948.35,7711.3
5936,2018-10-27,beautifulsoup,7679.1,8271.45,7812.7
9174,2018-10-26,beautifulsoup,7964.5,8165.7,7968.766666666666
5277,2018-10-25,beautifulsoup,8024.3,7924.95,8145.433333333333
12206,2018-10-24,beautifulsoup,8380.2,8077.7,8250.4
9712,2018-10-23,beautifulsoup,7575.0,7887.95,8128.666666666667
8699,2018-10-22,beautifulsoup,7051.1,7852.75,7936.7
3843,2018-10-21,beautifulsoup,6987.5,7869.7,7783.133333333333
4608,2018-10-20,beautifulsoup,7583.7,8114.05,7932.7
8595,2018-10-19,beautifulsoup,8189.1,8085.25,8055.866666666667
8741,2018-10-18,beautifulsoup,8575.8,7906.5,8065.6
8790,2018-10-17,beautifulsoup,8863.8,7879.5,8100.3
9772,2018-10-16,beautifulsoup,8366.9,7970.9,8101.7
8836,2018-10-15,beautifulsoup,7825.6,8206.0,7931.566666666667
4154,2018-10-14,beautifulsoup,7775.2,8185.5,7813.033333333334
4473,2018-10-13,beautifulsoup,8200.9,8405.5,7965.833333333333
8063,2018-10-12,beautifulsoup,8654.4,8379.5,8109.833333333333
9805,2018-10-11,beautifulsoup,8751.9,8180.95,8119.433333333333
10662,2018-10-10,beautifulsoup,8644.4,8107.2,8099.233333333334
12462,2018-10-09,beautifulsoup,7981.4,7989.25,8025.966666666666
11621,2018-10-08,beautifulsoup,7237.2,7810.5,7751.733333333334
3821,2018-10-07,beautifulsoup,6895.2,7718.55,7508.9
4359,2018-10-06,beautifulsoup,7574.9,7969.1,7640.2
8332,2018-10-05,beautifulsoup,8586.4,7984.55,7868.9
8411,2018-10-04,beautifulsoup,8595.8,7831.95,7953.033333333334
9008,2018-10-03,beautifulsoup,8610.1,7848.3,7970.1
9038,2018-10-02,beautifulsoup,8104.6,7837.55,7877.633333333333
8730,2018-10-01,beautifulsoup,7610.0,7803.2,7707.6
4032,2018-09-30,beautifulsoup,7570.0,7826.65,7540.733333333334
5020,2018-09-29,beautifulsoup,7997.1,8048.25,7660.533333333334
8201,2018-09-28,beautifulsoup,8383.8,8009.0,7788.5
10618,2018-09-27,beautifulsoup,8541.9,7815.75,7834.133333333333
14474,2018-09-26,beautifulsoup,8363.3,7672.85,7763.166666666667
8426,2018-09-25,beautifulsoup,7382.7,7510.15,7543.733333333334
8554,2018-09-24,beautifulsoup,7068.1,7631.65,7390.0
3953,2018-09-23,beautifulsoup,7086.5,7650.1,7237.366666666667
4092,2018-09-22,beautifulsoup,7570.5,7764.15,7357.733333333334
8330,2018-09-21,beautifulsoup,7996.4,7756.4,7501.266666666666
8303,2018-09-20,beautifulsoup,8083.3,7526.1,7508.366666666667
8887,2018-09-19,beautifulsoup,8099.4,7492.25,7508.4
9782,2018-09-18,beautifulsoup,7634.2,7490.85,7478.1
8832,2018-09-17,beautifulsoup,7089.6,7480.25,7279.2
4668,2018-09-16,beautifulsoup,6982.4,7463.1,7118.633333333333
5280,2018-09-15,beautifulsoup,7637.6,7624.25,7225.2
8738,2018-09-14,beautifulsoup,8195.2,7550.95,7324.7
8793,2018-09-13,beautifulsoup,8213.7,7312.8,7289.966666666666
8351,2018-09-12,beautifulsoup,7957.8,7251.35,7282.066666666667
9199,2018-09-11,beautifulsoup,7516.4,7253.7,7286.966666666666
8464,2018-09-10,beautifulsoup,6968.9,7220.9,7112.533333333334
4235,2018-09-09,beautifulsoup,6885.1,7212.9,6969.666666666667
4336,2018-09-08,beautifulsoup,7347.5,7400.05,7082.1
7760,2018-09-07,beautifulsoup,7870.9,7374.0,7235.2
11220,2018-09-06,beautifulsoup,7943.8,7186.75,7278.766666666666
10856,2018-09-05,beautifulsoup,7610.9,7019.0,7186.0
8923,2018-09-04,beautifulsoup,6906.7,6889.45,7083.5
6234,2018-09-03,beautifulsoup,6411.9,6828.1,6908.4
3937,2018-09-02,beautifulsoup,6544.9,6944.2,6818.6
3724,2018-09-01,beautifulsoup,6991.0,7172.25,6951.733333333334
7626,2018-08-31,beautifulsoup,7472.9,7184.35,7114.066666666667
8859,2018-08-30,beautifulsoup,7540.7,7011.95,7160.033333333334
9570,2018-08-29,beautifulsoup,7452.6,6949.4,7150.233333333334
8489,2018-08-28,beautifulsoup,6877.1,6917.35,7096.5
7891,2018-08-27,beautifulsoup,6429.7,6946.25,6942.166666666667
3814,2018-08-26,beautifulsoup,6427.1,6973.55,6835.1
3975,2018-08-25,beautifulsoup,6872.2,7171.9,6956.666666666667
7564,2018-08-24,beautifulsoup,7244.3,7156.65,6832.3
8398,2018-08-23,beautifulsoup,7343.5,6955.45,6581.366666666667
8543,2018-08-22,beautifulsoup,7353.5,6932.1,6302.533333333334
8304,2018-08-21,beautifulsoup,6895.8,6934.65,6034.1
7978,2018-08-20,beautifulsoup,6483.2,6969.7,5840.5
3815,2018-08-19,beautifulsoup,6446.2,6999.05,5637.833333333333
4015,2018-08-18,beautifulsoup,6957.6,7206.2,5528.5
7865,2018-08-17,beautifulsoup,7462.8,7198.4,5420.7
8265,2018-08-16,beautifulsoup,7520.0,7039.1,5178.866666666667
7696,2018-08-15,beautifulsoup,7471.6,6998.9,4922.0
8556,2018-08-14,beautifulsoup,7069.0,6626.3,4695.8
8498,2018-08-13,beautifulsoup,6567.4,6200.3,4498.9
3966,2018-08-12,beautifulsoup,6510.7,5777.05,4287.8
